"","Year","Month","GEO","Value"
"350",2001," Feb","Other.Southern.Ontario"," 46.6%"
"351",2001," Mar","Other.Southern.Ontario"," 47.3%"
"352",2001," Apr","Other.Southern.Ontario"," 47.1%"
"353",2001," May","Other.Southern.Ontario"," 56.2%"
"354",2001," Jun","Other.Southern.Ontario"," 64.4%"
"355",2001," Jul","Other.Southern.Ontario"," 62.1%"
"356",2001," Aug","Other.Southern.Ontario"," 67.1%"
"357",2001," Sep","Other.Southern.Ontario"," 60.8%"
"358",2001," Oct","Other.Southern.Ontario"," 48.8%"
"359",2001," Nov","Other.Southern.Ontario"," 43.7%"
"360",2001," Dec","Other.Southern.Ontario"," 36.7%"
"361",2001," Jan","Ottawa"," 55.7%"
"362",2001," Feb","Ottawa"," 76.5%"
"363",2001," Mar","Ottawa"," 70.6%"
"364",2001," Apr","Ottawa"," 63.8%"
"365",2001," May","Ottawa"," 75.5%"
"366",2001," Jun","Ottawa"," 76.1%"
"367",2001," Jul","Ottawa"," 69%"
"368",2001," Aug","Ottawa"," 71.7%"
"369",2001," Sep","Ottawa"," 71.4%"
"370",2001," Oct","Ottawa"," 75.8%"
"371",2001," Nov","Ottawa"," 68.8%"
"372",2001," Dec","Ottawa"," 45.8%"
"373",2001," Jan","Ottawa.East"," 48.3%"
"374",2001," Feb","Ottawa.East"," 67.1%"
"375",2001," Mar","Ottawa.East"," 62.8%"
"376",2001," Apr","Ottawa.East"," 58.1%"
"377",2001," May","Ottawa.East"," 76.5%"
"378",2001," Jun","Ottawa.East"," 72.9%"
"379",2001," Jul","Ottawa.East"," 66.7%"
"380",2001," Aug","Ottawa.East"," 70.2%"
"381",2001," Sep","Ottawa.East"," 74.2%"
"382",2001," Oct","Ottawa.East"," 74%"
"383",2001," Nov","Ottawa.East"," 67.2%"
"384",2001," Dec","Ottawa.East"," 42.8%"
"385",2001," Jan","Ottawa.West"," 50.6%"
"386",2001," Feb","Ottawa.West"," 66.8%"
"387",2001," Mar","Ottawa.West"," 67.2%"
"388",2001," Apr","Ottawa.West"," 61.2%"
"389",2001," May","Ottawa.West"," 71.7%"
"390",2001," Jun","Ottawa.West"," 75.2%"
"391",2001," Jul","Ottawa.West"," 75.4%"
"392",2001," Aug","Ottawa.West"," 75.6%"
"393",2001," Sep","Ottawa.West"," 67.6%"
"394",2001," Oct","Ottawa.West"," 63.3%"
"395",2001," Nov","Ottawa.West"," 58.3%"
"396",2001," Dec","Ottawa.West"," 42.4%"
"397",2001," Jan","Regina"," 46.5%"
"398",2001," Feb","Regina"," 60.4%"
"399",2001," Mar","Regina"," 64.9%"
"400",2001," Apr","Regina"," 63.3%"
"401",2001," May","Regina"," 63.2%"
"402",2001," Jun","Regina"," 68.9%"
"403",2001," Jul","Regina"," 58.5%"
"404",2001," Aug","Regina"," 69.8%"
"405",2001," Sep","Regina"," 59%"
"406",2001," Oct","Regina"," 61.6%"
"407",2001," Nov","Regina"," 72.2%"
"408",2001," Dec","Regina"," 51.2%"
"409",2001," Jan","Sault.Ste..Marie"," 44.9%"
"410",2001," Feb","Sault.Ste..Marie"," 56.4%"
"411",2001," Mar","Sault.Ste..Marie"," 54.1%"
"412",2001," Apr","Sault.Ste..Marie"," 44%"
"413",2001," May","Sault.Ste..Marie"," 47.4%"
"414",2001," Jun","Sault.Ste..Marie"," 56.3%"
"415",2001," Jul","Sault.Ste..Marie"," 71.8%"
"416",2001," Aug","Sault.Ste..Marie"," 81%"
"417",2001," Sep","Sault.Ste..Marie"," 80.9%"
"418",2001," Oct","Sault.Ste..Marie"," 63%"
"419",2001," Nov","Sault.Ste..Marie"," 40.5%"
"420",2001," Dec","Sault.Ste..Marie"," 38.8%"
"421",2001," Jan","Southern.Ontario"," 40.6%"
"422",2001," Feb","Southern.Ontario"," 47.7%"
"423",2001," Mar","Southern.Ontario"," 53.5%"
"424",2001," Apr","Southern.Ontario"," 53.3%"
"425",2001," May","Southern.Ontario"," 59.6%"
"426",2001," Jun","Southern.Ontario"," 70.1%"
"427",2001," Jul","Southern.Ontario"," 71.4%"
"428",2001," Aug","Southern.Ontario"," 76.5%"
"429",2001," Sep","Southern.Ontario"," 63.8%"
"430",2001," Oct","Southern.Ontario"," 57.1%"
"431",2001," Nov","Southern.Ontario"," 49.9%"
"432",2001," Dec","Southern.Ontario"," 38.4%"
"433",2001," Jan","St..Johns"," 53.1%"
"434",2001," Feb","St..Johns"," 63.9%"
"435",2001," Mar","St..Johns"," 65.9%"
"436",2001," Apr","St..Johns"," 63.4%"
"437",2001," May","St..Johns"," 75.1%"
"438",2001," Jun","St..Johns"," 90.1%"
"439",2001," Jul","St..Johns"," 81.9%"
"440",2001," Aug","St..Johns"," 81.8%"
"441",2001," Sep","St..Johns"," 80.8%"
"442",2001," Oct","St..Johns"," 67.2%"
"443",2001," Nov","St..Johns"," 67%"
"444",2001," Dec","St..Johns"," 46.1%"
"445",2001," Jan","Sudbury"," 45.7%"
"446",2001," Feb","Sudbury"," 66.9%"
"447",2001," Mar","Sudbury"," 68.2%"
"448",2001," Apr","Sudbury"," 62.6%"
"449",2001," May","Sudbury"," 68%"
"450",2001," Jun","Sudbury"," 67.8%"
"451",2001," Jul","Sudbury"," 70.8%"
"452",2001," Aug","Sudbury"," 78.7%"
"453",2001," Sep","Sudbury"," 69.2%"
"454",2001," Oct","Sudbury"," 70.3%"
"455",2001," Nov","Sudbury"," 65.2%"
"456",2001," Dec","Sudbury"," 42.7%"
"457",2001," Jan","Thunder.Bay"," "
"458",2001," Feb","Thunder.Bay"," "
"459",2001," Mar","Thunder.Bay"," "
"460",2001," Apr","Thunder.Bay"," "
"461",2001," May","Thunder.Bay"," "
"462",2001," Jun","Thunder.Bay"," "
"463",2001," Jul","Thunder.Bay"," "
"464",2001," Aug","Thunder.Bay"," "
"465",2001," Sep","Thunder.Bay"," "
"466",2001," Oct","Thunder.Bay"," "
"467",2001," Nov","Thunder.Bay"," "
"468",2001," Dec","Thunder.Bay"," "
"469",2001," Jan","Toronto.Airport"," 73%"
"470",2001," Feb","Toronto.Airport"," 75.6%"
"471",2001," Mar","Toronto.Airport"," 70.3%"
"472",2001," Apr","Toronto.Airport"," 70.8%"
"473",2001," May","Toronto.Airport"," 68.1%"
"474",2001," Jun","Toronto.Airport"," 70%"
"475",2001," Jul","Toronto.Airport"," 61.3%"
"476",2001," Aug","Toronto.Airport"," 72.8%"
"477",2001," Sep","Toronto.Airport"," 62.6%"
"478",2001," Oct","Toronto.Airport"," 62.9%"
